emp_no,first_name,last_name,birth_date,title,dept_name
84029,Babette,Eugenio,1965-01-27,Staff,Customer Service
84163,Zejun,Roisin,1965-01-11,Senior Staff,Finance
84179,Shuichi,Nanard,1965-01-25,Senior Engineer,Production
84236,Eberhardt,Barriga,1965-01-18,Staff,Sales
84256,Denny,Cheshire,1965-01-25,Staff,Sales
84315,Kristina,Baumann,1965-01-23,Assistant Engineer,Development
84451,Shiv,Aumann,1965-01-20,Senior Engineer,Development
84494,Janalee,Loncour,1965-01-02,Staff,Finance
84508,Tommaso,Vidya,1965-01-17,Engineer,Development
84840,Sverrir,Neimat,1965-01-14,Staff,Research
84922,Parke,Unno,1965-01-22,Engineer,Development
84942,Shin,Fujisaki,1965-01-15,Technique Leader,Quality Management
85216,Ferdinand,Rosiles,1965-01-18,Senior Staff,Finance
85288,Younwoo,Luders,1965-01-06,Engineer,Quality Management
85414,Chiradeep,Callaway,1965-01-14,Staff,Finance
85445,Yongdong,Pollock,1965-01-09,Staff,Sales
85702,Udi,Merks,1965-01-04,Engineer,Quality Management
85874,Pasqua,Taubman,1965-01-30,Senior Staff,Customer Service
86213,Kristine,Clemencon,1965-01-28,Staff,Marketing
86324,Maia,Berstel,1965-01-14,Engineer,Quality Management
86354,Ronghao,Segond,1965-01-27,Senior Engineer,Development
86422,Jaewon,Thummel,1965-02-01,Senior Staff,Marketing
86546,Oldrich,Woycyznski,1965-01-09,Engineer,Production
86655,Zhenhua,Lorys,1965-01-01,Engineer,Production
86672,JoAnne,Anido,1965-01-15,Staff,Research
87129,Keung,Neiman,1965-01-16,Staff,Sales
87353,Quingbo,Coombs,1965-01-07,Senior Engineer,Development
87458,Mikhail,Gimbel,1965-01-26,Senior Staff,Sales
87714,Khun,Janetzko,1965-01-16,Assistant Engineer,Production
87729,Yongmin,Roccetti,1965-01-24,Staff,Research
87783,Conor,Thorensen,1965-01-26,Senior Engineer,Development
88103,Goo,Bresenham,1965-01-09,Senior Staff,Sales
88357,Manohar,Karcich,1965-01-05,Staff,Research
88411,Lena,Cannane,1965-01-31,Engineer,Development
88422,Jungsoon,Birsak,1965-01-28,Technique Leader,Production
88647,Vasiliy,Ratnaker,1965-01-10,Engineer,Development
88958,Vojin,Coombs,1965-01-22,Senior Staff,Finance
88965,Mang,Hedayat,1965-01-20,Engineer,Development
89048,Otmar,Birjandi,1965-01-24,Senior Engineer,Development
89090,Tetsushi,Theuretzbacher,1965-01-26,Senior Staff,Human Resources
89161,Conal,Yetto,1965-01-07,Senior Staff,Finance
89207,Along,Erol,1965-01-15,Senior Staff,Human Resources
89346,Mansur,Comyn,1965-01-13,Engineer,Development
89487,Kazuhira,Seiwald,1965-01-29,Engineer,Development
89590,Guther,Rothenberg,1965-01-27,Senior Staff,Research
89664,Pranjal,Rossi,1965-01-20,Staff,Marketing
89680,Aiman,Mawatari,1965-01-27,Engineer,Production
89806,Xiadong,Shinomoto,1965-01-27,Engineer,Production
89922,Alexius,Ibel,1965-01-26,Senior Engineer,Production
89941,Arnould,Weedman,1965-01-23,Senior Staff,Marketing
90077,Vivian,Guerreiro,1965-01-24,Engineer,Development
90084,Renny,Bale,1965-01-01,Engineer,Production
90116,Brigham,Luiz,1965-01-11,Assistant Engineer,Development
90211,Bader,Denis,1965-01-15,Engineer,Production
90292,Koichi,Assaf,1965-01-09,Engineer,Production
90366,Magy,Eiron,1965-01-26,Senior Staff,Customer Service
90518,Fumiko,Chepyzhov,1965-01-24,Staff,Customer Service
90614,Yonghoan,Trogemann,1965-01-29,Assistant Engineer,Production
90692,Rajmohan,DasSarma,1965-01-03,Staff,Marketing
91172,Kazuhisa,Melter,1965-01-19,Staff,Customer Service
91182,Lucien,Schwartzburd,1965-01-04,Engineer,Development
91229,Yahiko,Hebden,1965-01-01,Senior Engineer,Production
91256,Gunilla,Milicic,1965-01-13,Staff,Marketing
91308,Remmert,Plumb,1965-01-23,Engineer,Development
91333,Lobel,Stafford,1965-01-27,Staff,Sales
91415,Jamaludin,Nilsson,1965-01-04,Senior Staff,Sales
91462,Siamak,Janocha,1965-01-11,Engineer,Development
91648,Dmitry,Msuda,1965-01-29,Senior Staff,Marketing
91934,Nikolaus,Swen,1965-01-03,Engineer,Production
91973,Jianwen,Jakobus,1965-01-25,Senior Engineer,Development
92438,Aria,Kilgore,1965-01-04,Senior Engineer,Production
92443,Girolamo,Bellmore,1965-01-01,Senior Staff,Customer Service
92454,Visit,McFarlan,1965-01-24,Engineer,Quality Management
92577,Zhanqiu,Farrow,1965-01-06,Assistant Engineer,Production
92598,Ranga,Merro,1965-01-18,Assistant Engineer,Production
92685,Mang,Atchley,1965-01-26,Senior Staff,Sales
92841,Claude,Candan,1965-01-22,Senior Staff,Sales
92846,Anyuan,Kropatsch,1965-01-11,Senior Staff,Marketing
92920,Huei,Hutter,1965-01-20,Senior Engineer,Development
93040,Jaques,Kabayashi,1965-01-19,Senior Engineer,Development
93220,Richara,Walston,1965-01-11,Senior Engineer,Quality Management
93278,Magdalena,Penn,1965-02-01,Senior Engineer,Production
93549,Arie,Coullard,1965-02-01,Senior Staff,Finance
93600,Kristina,Neimat,1965-01-13,Technique Leader,Production
93794,Rimli,Werthner,1965-01-23,Engineer,Production
94045,Gift,Brender,1965-01-19,Senior Engineer,Development
94131,Bernardo,Vasanthakumar,1965-01-29,Staff,Finance
94331,Ramzi,Cronau,1965-01-26,Technique Leader,Production
94416,Aran,Cesareni,1965-01-01,Senior Staff,Finance
94442,Bilhanan,Marrakchi,1965-01-28,Staff,Finance
94690,Kazuyasu,Sridhar,1965-01-30,Staff,Finance
94761,Hitofumi,Zaccaria,1965-01-27,Senior Engineer,Development
94787,Shigenori,Stanfel,1965-01-22,Staff,Customer Service
94944,Heping,Matheson,1965-01-13,Engineer,Development
95181,Yishai,Cappelli,1965-01-28,Staff,Research
95286,Kristin,Guerreiro,1965-01-18,Engineer,Development
95314,Rasiah,Koblick,1965-01-22,Staff,Sales
95406,Alair,Lyonns,1965-01-08,Engineer,Development
95416,Gianluca,Ramaiah,1965-01-13,Engineer,Development
95509,Kristinn,Loncour,1965-01-11,Engineer,Production
95692,Abdulah,Hofstetter,1965-01-20,Engineer,Production
95920,Nobuyoshi,Hegner,1965-01-19,Senior Staff,Finance
96100,Pranay,Rebaine,1965-01-11,Senior Engineer,Production
96571,Kokou,Garrabrants,1965-01-13,Senior Engineer,Production
96579,Mohan,Tasistro,1965-01-18,Engineer,Production
96767,Arumugam,Vecchio,1965-01-07,Senior Engineer,Production
97018,Jeanna,Chinen,1965-01-09,Engineer,Production
97092,Anwar,Riexinger,1965-01-22,Engineer,Development
97623,Haldon,Janetzko,1965-01-25,Staff,Human Resources
97661,Avishai,Hegner,1965-01-31,Senior Staff,Research
97697,Moie,Karunanithi,1965-01-10,Senior Engineer,Development
98288,Sumali,Huttel,1965-01-12,Staff,Research
98306,Ziya,Kadhim,1965-01-16,Senior Engineer,Production
98514,Giao,Junot,1965-01-08,Staff,Sales
98639,Florina,Assaf,1965-01-29,Staff,Research
99057,Shugo,Reeken,1965-01-30,Staff,Customer Service
99373,Xiaobin,Christianini,1965-01-13,Senior Staff,Customer Service
99377,Carrsten,Francisci,1965-01-18,Senior Engineer,Development
99590,Dhritiman,Anily,1965-01-24,Staff,Sales
99654,Mahendra,Motley,1965-01-30,Staff,Research
100865,Hisao,Peral,1965-01-19,Senior Engineer,Production
100877,Kazuhide,Harnett,1965-01-13,Engineer,Production
100916,Heejo,Aamodt,1965-01-18,Senior Engineer,Development
101063,Nectarios,Munos,1965-01-08,Senior Engineer,Development
101487,Abdelaziz,Sury,1965-01-14,Senior Staff,Sales
101647,Mori,Homond,1965-01-22,Senior Staff,Sales
101902,Mantis,Millington,1965-01-14,Staff,Sales
102620,Adin,Templeman,1965-01-03,Engineer,Quality Management
103166,Waiman,Dalton,1965-01-09,Senior Engineer,Development
103172,Doowon,Highland,1965-01-05,Engineer,Development
103196,Djenana,Albarhamtoshy,1965-01-16,Senior Staff,Human Resources
103310,Visit,Swen,1965-01-07,Senior Staff,Marketing
103316,Susanne,Peternell,1965-01-03,Engineer,Development
103342,Beshir,Hellwagner,1965-01-03,Engineer,Quality Management
103756,Heping,Halloran,1965-01-31,Engineer,Development
104133,Pranjal,Zyda,1965-01-31,Staff,Sales
104845,Werner,Lodder,1965-01-29,Staff,Finance
104962,Zongyan,Auyong,1965-01-04,Engineer,Production
104988,Parviz,Litzler,1965-01-07,Senior Engineer,Development
105191,Jaber,Kleiser,1965-01-01,Engineer,Production
105342,Kwun,Reeker,1965-01-01,Technique Leader,Quality Management
105356,Diederik,Matzov,1965-01-29,Senior Engineer,Development
105432,Mohamadou,Stafford,1965-01-08,Senior Engineer,Development
105520,Haldun,Lienhardt,1965-01-01,Senior Staff,Sales
105589,Yechiam,Egerstedt,1965-01-28,Engineer,Development
105731,Sachem,Cromarty,1965-01-15,Engineer,Development
105936,Vidar,Thibadeau,1965-01-23,Staff,Sales
106096,Naftali,Schurmann,1965-01-14,Senior Engineer,Production
106242,Nevio,Thisen,1965-02-01,Staff,Human Resources
106514,Otilia,Speek,1965-01-04,Senior Engineer,Development
106695,Lijie,Garrabrants,1965-01-31,Staff,Development
106710,Babette,Anandan,1965-01-31,Staff,Marketing
106958,Horward,Begiun,1965-01-24,Senior Engineer,Production
107486,Siamak,Luiz,1965-01-23,Senior Engineer,Development
107737,Fabrizio,Chleq,1965-01-23,Senior Engineer,Development
107792,Shahab,Crooks,1965-01-13,Staff,Marketing
107828,Ramya,Walston,1965-01-26,Staff,Sales
108091,Hisao,Ghemri,1965-01-09,Senior Staff,Customer Service
108198,Randi,Samarati,1965-01-24,Senior Staff,Research
108316,Shai,Stellhorn,1965-01-02,Senior Engineer,Production
108988,Oksana,Baek,1965-01-19,Senior Staff,Sales
109062,Jamaludin,Kandlur,1965-02-01,Senior Engineer,Development
109211,Gor,Delgrande,1965-01-11,Engineer,Research
109252,Moty,Winter,1965-01-15,Technique Leader,Production
109278,Bangqing,Schach,1965-01-21,Staff,Finance
109547,Chenye,Zizka,1965-01-04,Senior Staff,Customer Service
109552,Menkae,Etalle,1965-01-31,Assistant Engineer,Development
109553,Xiaobin,DuBourdieux,1965-01-19,Staff,Finance
109598,Stamatina,Auyong,1965-02-01,Senior Staff,Finance
109611,Jamaludin,Lalonde,1965-01-08,Staff,Sales
109620,Mani,Cannata,1965-01-02,Senior Staff,Sales
109652,Huan,Perko,1965-01-25,Senior Staff,Human Resources
109703,Arco,Walston,1965-01-17,Engineer,Production
109741,Hatem,Fadgyas,1965-01-11,Senior Engineer,Production
109953,Godehard,Chorvat,1965-01-26,Staff,Sales
200052,Slavian,Cincotta,1965-01-27,Senior Engineer,Development
200176,Shahab,Luit,1965-01-31,Senior Staff,Sales
200267,Chuanti,Luff,1965-01-08,Staff,Customer Service
200312,Akemi,Fujisaki,1965-01-27,Senior Engineer,Production
200363,Kirk,Quaggetto,1965-01-10,Senior Engineer,Development
200735,Dinah,Denos,1965-01-09,Staff,Marketing
200789,Susumu,Camurati,1965-01-14,Staff,Marketing
201180,Odinaldo,Bridgland,1965-01-15,Assistant Engineer,Development
201229,Alejandra,Khasidashvili,1965-01-03,Staff,Human Resources
201708,Anneli,Perl,1965-01-15,Senior Staff,Human Resources
201709,Fan,Kakkad,1965-01-01,Staff,Finance
201739,Genta,Terekhov,1965-01-16,Assistant Engineer,Development
201801,Waiman,Genin,1965-01-12,Engineer,Development
201915,Sudharsan,DeMori,1965-01-02,Senior Engineer,Production
202031,Annemarie,Peternell,1965-01-23,Engineer,Development
202291,Ortrun,Schmiedel,1965-01-16,Engineer,Production
202403,Gully,Perko,1965-01-09,Engineer,Production
202414,Zvonko,Murthy,1965-01-13,Senior Staff,Customer Service
202552,Morris,Saoudi,1965-01-05,Senior Engineer,Production
202581,Dharmaraja,Merlo,1965-01-19,Staff,Human Resources
202826,Kerhong,Matzke,1965-01-19,Senior Engineer,Development
202882,Isaac,Koshino,1965-01-25,Senior Engineer,Development
202950,Giordano,Pietrzykowski,1965-01-17,Senior Staff,Human Resources
203474,Hugh,Jonsson,1965-01-03,Staff,Sales
203495,Zongyan,Gips,1965-01-02,Technique Leader,Development
203599,Ewing,DiGiano,1965-01-21,Technique Leader,Development
203697,Claude,Kemmerer,1965-01-27,Engineer,Development
203720,Sasan,Thimonier,1965-01-30,Senior Staff,Sales
203946,Yefim,Marwedel,1965-01-23,Staff,Human Resources
204117,Jessie,Nooteboom,1965-01-10,Staff,Customer Service
204133,Susuma,Bergere,1965-01-22,Senior Staff,Finance
204246,Arve,Worfolk,1965-01-09,Staff,Research
204425,Gretta,Huttel,1965-01-03,Senior Engineer,Development
204470,Hein,Lichtner,1965-01-22,Staff,Sales
204471,Franziska,Maginnis,1965-01-27,Senior Engineer,Development
204764,Susanne,Mandelberg,1965-01-22,Engineer,Development
205018,Yahiko,Awdeh,1965-01-26,Engineer,Quality Management
205085,Moni,Kornyak,1965-01-23,Technique Leader,Development
205174,Leszek,Spinelli,1965-01-05,Staff,Marketing
205362,Masasuke,Makinen,1965-01-25,Staff,Sales
205500,Mary,Setiz,1965-01-04,Senior Engineer,Development
205627,Stabislas,Broder,1965-01-21,Senior Engineer,Production
205660,Kien,Barreiro,1965-01-27,Staff,Marketing
205699,Youjian,Yetto,1965-01-31,Senior Staff,Sales
205789,Limsoon,Skafidas,1965-01-31,Senior Staff,Finance
205863,Aiichiro,Kusalik,1965-01-06,Senior Engineer,Quality Management
206372,Temple,Joslin,1965-01-17,Engineer,Production
206748,Yucai,Fabrizio,1965-01-07,Staff,Sales
206836,Guadalupe,Pfau,1965-01-12,Senior Staff,Research
206865,Vasilii,Cochrane,1965-01-28,Senior Engineer,Production
206966,Tzu,Sichman,1965-01-21,Engineer,Development
207021,Jacqueline,Akaboshi,1965-01-20,Engineer,Production
207068,Zhiguo,Ariola,1965-01-13,Senior Staff,Marketing
207204,Kellie,Schrooten,1965-01-25,Assistant Engineer,Development
207401,Shuji,Barbanera,1965-01-04,Senior Staff,Research
207551,Baziley,Falck,1965-01-15,Assistant Engineer,Development
207779,Chinya,Kamble,1965-01-16,Senior Staff,Research
207980,Remko,Vieth,1965-01-07,Staff,Human Resources
208147,Manu,Rothenberg,1965-01-09,Senior Engineer,Development
208330,Shen,Flanders,1965-01-11,Staff,Sales
208639,Larisa,Lukaszewicz,1965-01-27,Staff,Sales
208653,Phillip,Schade,1965-01-23,Senior Engineer,Development
208784,Pranjal,Juneja,1965-01-30,Senior Engineer,Production
209101,Xinyu,Edelhoff,1965-01-05,Senior Engineer,Quality Management
209443,Krassimir,Garnier,1965-01-19,Senior Staff,Human Resources
209456,Adhemar,Leonhardt,1965-01-19,Engineer,Production
209565,Dante,Covnot,1965-01-09,Staff,Marketing
209681,Tianruo,Bratten,1965-01-20,Senior Staff,Human Resources
209712,Nimmagadda,Baak,1965-01-17,Engineer,Development
209945,Roded,Veevers,1965-01-27,Engineer,Development
210017,Shalesh,Lovengreen,1965-01-28,Senior Staff,Human Resources
210292,Lihong,Zeilberger,1965-01-18,Staff,Human Resources
210449,Gino,Lagarias,1965-01-19,Engineer,Production
210529,Adam,Besancenot,1965-01-29,Senior Staff,Sales
210610,Arco,Crouzet,1965-01-23,Assistant Engineer,Development
210752,Saniya,Stenning,1965-01-25,Staff,Marketing
210786,Werner,Ranze,1965-01-31,Staff,Human Resources
211569,Zhonghua,Snyers,1965-02-01,Senior Staff,Finance
211858,Domenico,Ratnaker,1965-01-08,Engineer,Production
211879,Gao,Ranze,1965-01-12,Engineer,Development
211967,Anwar,Bain,1965-01-07,Senior Engineer,Development
212074,Tomokazu,Byoun,1965-01-11,Engineer,Production
212093,Leni,Henders,1965-01-11,Staff,Human Resources
212131,Debatosh,Rajala,1965-01-21,Staff,Marketing
212154,Sailaja,Holburn,1965-01-17,Staff,Customer Service
212361,Claudi,Stanfel,1965-01-16,Senior Engineer,Quality Management
212703,Kien,Bennis,1965-01-02,Engineer,Development
212810,Qingxiang,Swan,1965-01-16,Staff,Customer Service
213016,Yongmao,Fontan,1965-01-22,Senior Engineer,Development
213140,Tru,Danecki,1965-01-10,Staff,Sales
213384,Pranas,Narwekar,1965-01-04,Engineer,Development
213447,Armond,Perly,1965-02-01,Senior Engineer,Production
214184,Sivanarayana,Ranka,1965-01-11,Engineer,Development
214215,Xiaoqiang,Cardazo,1965-01-25,Senior Staff,Sales
214391,Rayond,Klassen,1965-01-15,Senior Staff,Customer Service
214427,Peer,Molberg,1965-01-29,Engineer,Production
214539,Ingmar,Kohling,1965-01-27,Engineer,Development
214634,Shirish,Vickson,1965-01-12,Senior Engineer,Development
214789,Arfst,Chepyzhov,1965-01-28,Senior Engineer,Production
214807,Prasadram,Qiwen,1965-01-13,Engineer,Quality Management
214866,Gopalakrishnan,Angel,1965-02-01,Senior Engineer,Development
214995,Dinkar,Hoppenstand,1965-01-12,Engineer,Production
215419,Flemming,Kroha,1965-01-16,Staff,Human Resources
215629,Munehiro,Manders,1965-01-15,Staff,Customer Service
215746,Sven,Speer,1965-01-08,Staff,Finance
215843,Pramod,Loncour,1965-01-30,Staff,Marketing
216054,Sahrah,Angiulli,1965-01-24,Staff,Research
216062,Shuichi,Anick,1965-01-22,Senior Engineer,Development
216246,Francoise,Rullman,1965-01-21,Staff,Marketing
216342,Aiichiro,Cromarty,1965-01-22,Engineer,Development
216375,Byong,Gustavson,1965-01-16,Senior Engineer,Development
216502,Xiaocheng,Suermann,1965-01-26,Engineer,Development
216573,Ashish,Vidya,1965-01-29,Senior Engineer,Production
216921,Lena,Lenart,1965-01-22,Staff,Sales
217026,Otmar,Engberts,1965-01-11,Staff,Sales
217080,Masami,Puoti,1965-01-12,Senior Engineer,Development
217272,Yuchang,Eldridge,1965-01-21,Staff,Sales
217286,Yannik,Spelt,1965-01-05,Technique Leader,Development
217320,Abdelwaheb,Denis,1965-01-10,Engineer,Quality Management
217363,Horward,Marzano,1965-01-14,Staff,Customer Service
217387,Jianhao,Molenaar,1965-01-21,Engineer,Development
217551,Panayotis,Lukaszewicz,1965-01-02,Senior Engineer,Production
217800,Shay,Servieres,1965-02-01,Senior Staff,Finance
218022,Mokhtar,Poupard,1965-01-26,Technique Leader,Development
218100,Jiong,Garnham,1965-01-24,Staff,Human Resources
218299,Almudena,Genin,1965-01-09,Senior Staff,Human Resources
218829,Eckart,Foong,1965-01-17,Staff,Marketing
218831,Unal,DuBourdieux,1965-01-16,Engineer,Production
219035,Kristine,Bierman,1965-01-18,Technique Leader,Quality Management
219047,Aemilian,Kusalik,1965-01-30,Senior Engineer,Development
219052,Marsal,Acton,1965-01-06,Staff,Marketing
219417,Subhrajyoti,Denna,1965-01-29,Staff,Research
219497,Moie,Zastre,1965-01-22,Technique Leader,Development
219967,Susanna,Reeken,1965-01-16,Senior Staff,Human Resources
220029,Demos,Asser,1965-01-17,Senior Engineer,Development
220131,Reinhard,Slaats,1965-01-09,Senior Engineer,Development
220418,Poorav,Laventhal,1965-01-23,Staff,Sales
220528,Sibyl,Rabehasaina,1965-01-06,Senior Staff,Research
220582,Poornachandra,Zielinski,1965-01-08,Senior Staff,Marketing
220611,Yuping,Babb,1965-01-23,Senior Staff,Sales
220625,Shigenori,Deville,1965-01-25,Technique Leader,Production
220699,Nahid,Gyimothy,1965-01-07,Staff,Customer Service
220799,Perla,Orlowska,1965-01-17,Senior Engineer,Research
221126,Tesuya,dAstous,1965-01-23,Senior Engineer,Development
221367,Saddek,Farris,1965-01-13,Senior Staff,Customer Service
221369,Abdulah,Pocchiola,1965-01-28,Engineer,Quality Management
221435,Djenana,Marrevee,1965-01-06,Senior Engineer,Production
221699,Szabolcs,Georgatos,1965-01-15,Engineer,Development
221973,Sangeeta,Kalefeld,1965-01-17,Staff,Marketing
222206,Stein,Uludag,1965-01-21,Staff,Human Resources
222311,Miyeon,Billingsley,1965-01-20,Senior Engineer,Development
222319,Matt,Chvatal,1965-01-20,Senior Engineer,Development
222354,Valdiodio,Schlumberger,1965-01-15,Engineer,Development
222616,Badri,Schapire,1965-02-01,Assistant Engineer,Quality Management
222701,Lein,Delaune,1965-01-24,Senior Staff,Sales
222770,Kazuhiko,Kushner,1965-01-22,Senior Engineer,Development
222878,Annemarie,Zallocco,1965-01-10,Senior Engineer,Development
222926,Limsoon,Erol,1965-01-10,Senior Engineer,Development
222952,Gopalakrishnan,Suermann,1965-01-28,Senior Engineer,Production
222998,Leaf,Awdeh,1965-01-07,Senior Staff,Human Resources
223593,Hidefumi,Moehrke,1965-01-20,Staff,Marketing
223595,Chiranjit,Dredge,1965-02-01,Technique Leader,Production
224135,Annemarie,Bressoud,1965-01-02,Engineer,Development
224335,Perry,Chachaty,1965-01-29,Engineer,Development
224390,True,Shobatake,1965-01-24,Senior Staff,Research
224934,George,Miake,1965-01-05,Staff,Human Resources
225438,Remmert,Quaggetto,1965-01-14,Senior Staff,Sales
225601,Masasuke,Genin,1965-01-13,Assistant Engineer,Development
225788,Ipke,Kieras,1965-01-08,Engineer,Development
225867,Ramalingam,Remmele,1965-01-26,Senior Engineer,Quality Management
225964,Mooi,Cooman,1965-01-19,Engineer,Production
226216,Giordano,Gini,1965-01-28,Technique Leader,Quality Management
226227,Herbert,Erva,1965-01-07,Senior Engineer,Production
227354,Gio,Murtha,1965-01-12,Engineer,Development
227476,Macha,Schnabel,1965-01-11,Engineer,Development
227681,Mikhail,Rousseau,1965-01-30,Staff,Finance
227899,Garnik,Luce,1965-01-23,Staff,Marketing
227901,Francesca,Azuma,1965-01-26,Staff,Research
228098,IEEE,Kroll,1965-01-18,Engineer,Customer Service
228248,Yuriy,Plump,1965-01-09,Staff,Research
228554,Bilhanan,Brendel,1965-01-03,Senior Staff,Sales
228575,Takanari,Pelc,1965-01-03,Engineer,Development
228766,Nahla,Smailagic,1965-01-11,Engineer,Production
229098,Berry,Yurek,1965-01-08,Senior Staff,Customer Service
229207,Filipe,Erol,1965-01-30,Senior Engineer,Development
229220,Fabrizio,Lichtman,1965-01-21,Engineer,Production
229248,Harjit,Terekhov,1965-01-27,Staff,Research
229352,Kwangho,Petereit,1965-01-07,Engineer,Production
229364,Dulce,Magliocco,1965-01-07,Staff,Sales
229386,Pohua,Tasistro,1965-01-03,Technique Leader,Production
229391,Paloma,Henseler,1965-01-15,Engineer,Production
229404,Gilbert,Kilgour,1965-01-11,Staff,Human Resources
229547,Moni,Schach,1965-01-03,Staff,Sales
229690,Mokhtar,Sherertz,1965-01-08,Staff,Sales
229727,Ewing,Millington,1965-01-23,Engineer,Development
229981,Jamaludin,Fordan,1965-01-19,Senior Engineer,Production
230002,Tadahiro,Backhouse,1965-01-07,Engineer,Development
230126,Bezalel,Radivojevic,1965-01-31,Staff,Customer Service
230287,Renny,Alameldin,1965-01-14,Assistant Engineer,Production
230354,Yinghua,Lorho,1965-01-31,Senior Staff,Human Resources
230498,Kolar,Puppo,1965-01-15,Engineer,Production
230579,Shahar,Negoita,1965-01-17,Staff,Finance
230689,Dietrich,Crabtree,1965-01-14,Senior Staff,Sales
230821,Toshiki,Raney,1965-01-20,Staff,Finance
230865,Takushi,Brattka,1965-01-02,Staff,Marketing
231043,Torsten,Slobodova,1965-01-01,Assistant Engineer,Development
231069,Trygve,Siksek,1965-01-22,Staff,Sales
231459,Nectarios,Pramanik,1965-01-28,Assistant Engineer,Production
231671,Chandrasekaran,Pearson,1965-01-07,Staff,Customer Service
231798,Goetz,Alvarado,1965-01-28,Engineer,Development
232178,Etsuo,Anandan,1965-01-29,Staff,Human Resources
232209,Nitsan,Rouquie,1965-01-11,Senior Engineer,Quality Management
232458,Nikolaus,Yetto,1965-01-04,Staff,Marketing
232496,Peternela,Klerer,1965-01-31,Staff,Human Resources
232697,Barry,Ramsak,1965-01-23,Senior Engineer,Production
232723,Tesuya,Bugrara,1965-01-14,Engineer,Quality Management
233114,Alselm,Gargeya,1965-01-20,Senior Engineer,Development
233247,Murthy,Angiulli,1965-01-18,Engineer,Production
233394,Khalid,Lenart,1965-01-06,Engineer,Development
233397,Fay,Sundgren,1965-01-16,Senior Staff,Sales
233426,Etsuo,Usery,1965-01-12,Senior Engineer,Development
233533,Seongbae,Sluis,1965-01-10,Staff,Customer Service
233690,Cedric,Riefers,1965-01-17,Engineer,Development
233759,Zissis,Lodder,1965-01-14,Engineer,Customer Service
233765,Kotesh,Chachaty,1965-01-20,Engineer,Development
233785,Baziley,Ballarin,1965-01-30,Staff,Sales
233818,Kellie,Heydon,1965-01-01,Engineer,Development
234195,Luerbio,Terkki,1965-01-07,Staff,Sales
234278,Tzu,Impagliazzo,1965-01-20,Staff,Finance
234739,Foong,Aamodt,1965-01-31,Senior Engineer,Production
235017,Irena,Dratva,1965-01-17,Staff,Sales
235096,Sverrir,Gyimothy,1965-01-21,Staff,Customer Service
235269,Keiichiro,Feldmann,1965-01-31,Staff,Research
235325,Gro,Prochazka,1965-01-06,Engineer,Development
235368,Anneli,Joslin,1965-01-09,Senior Engineer,Production
235458,Gio,Heuser,1965-01-05,Senior Staff,Research
235546,Tianruo,Speer,1965-01-17,Staff,Sales
235729,Henk,Anger,1965-02-01,Staff,Marketing
235780,Sampalli,Bergere,1965-01-17,Senior Engineer,Production
235793,Jayesh,Spinelli,1965-01-03,Senior Engineer,Production
236315,IEEE,Raczkowsky,1965-01-31,Technique Leader,Development
236559,Berna,Nanard,1965-01-20,Senior Engineer,Production
236566,Yechezkel,Maginnis,1965-01-17,Senior Staff,Customer Service
236591,Insup,Reinhard,1965-01-11,Staff,Marketing
236827,Almudena,Rijckaert,1965-01-28,Engineer,Development
236883,Huan,Olivero,1965-01-27,Staff,Sales
236964,Adel,Foote,1965-01-17,Staff,Customer Service
237289,Brendon,Fritzsche,1965-01-24,Staff,Marketing
237400,Guadalupe,Perri,1965-01-24,Technique Leader,Production
237590,Annemarie,Irland,1965-01-25,Staff,Research
238112,Miomir,Frezza,1965-01-12,Technique Leader,Production
238252,Uno,Suppi,1965-01-09,Staff,Sales
238422,Vishv,Angelov,1965-01-10,Staff,Sales
238949,Minghong,Cronin,1965-01-09,Senior Staff,Sales
239067,Tadahiko,Pocchiola,1965-01-11,Staff,Sales
239244,Abdulla,Kitai,1965-01-13,Senior Staff,Sales
239415,Susumu,Brender,1965-01-01,Engineer,Production
239426,Vesna,Fairtlough,1965-01-08,Engineer,Research
239581,Guangming,Marquardt,1965-01-18,Staff,Sales
239664,Sugwoo,Michaels,1965-01-04,Senior Engineer,Production
239706,Arunas,Bugrara,1965-01-15,Assistant Engineer,Production
239748,Bilhanan,Dusink,1965-01-23,Senior Staff,Sales
239803,Oscal,Ernst,1965-01-30,Staff,Research
240011,Heather,Luef,1965-01-27,Technique Leader,Production
240132,Mizuhito,Kobara,1965-02-01,Senior Staff,Customer Service
240236,True,Tischendorf,1965-01-24,Engineer,Production
240253,Shrikanth,Ramaiah,1965-01-16,Engineer,Production
240285,Kolar,Greenaway,1965-01-23,Staff,Customer Service
240340,Mack,Staylopatis,1965-01-14,Senior Engineer,Production
240438,Temple,Cyre,1965-01-02,Staff,Customer Service
240870,Francesca,Chorvat,1965-01-06,Staff,Production
241100,Cedric,Molenaar,1965-01-23,Senior Engineer,Development
241254,Jagoda,Anguita,1965-01-15,Senior Engineer,Development
241292,Uri,Lampe,1965-01-29,Staff,Marketing
241567,Emran,Miara,1965-01-18,Engineer,Development
241667,Atilio,Olivero,1965-01-28,Senior Engineer,Production
241728,Limsoon,Boudaillier,1965-01-30,Senior Engineer,Production
241872,Bluma,Fetvedt,1965-01-11,Senior Staff,Development
241917,Wuxu,Poupard,1965-02-01,Staff,Sales
241952,Maya,Anandan,1965-01-20,Staff,Sales
242019,Herb,Murrill,1965-01-09,Senior Engineer,Production
